sentence,label,datatype,title,publication_date,file_id,-1,Profit,Dividend,MergerAcquisition,SalesVolume,BuyRating,QuarterlyResults,TargetPrice,ShareRepurchase,Turnover,Debt
"Tullow Oil drifted from a record high , slipping 0.3 per cent to pound(s)13.65 following Monday 's move to buy Heritage Oil 's Ugandan assets .",-1,holdin,banks trail ftse amid concern over barclays cash call,20-01-2010,753,1,0,0,0,0,0,0,0,0,0,0
Tesco feels effect of weaker consumer confidence GENERAL RETAILERS,-1,holdin,tesco feels effect of weaker consumer confidence general retailers,26-11-2005,112,1,0,0,0,0,0,0,0,0,0,0
"Deutsche Telekom , the German group , could also prove protective of its home market .",-1,holdin,vodafone weighs bid for german cable group,14-02-2013,581,1,0,0,0,0,0,0,0,0,0,0
"This was not as lop-sided as Deutsche Bank , where investment banking contributed 93 per cent of pre-tax profits , but does little to dispel investor concerns that Barclays relies unduly on volatile investment banking .",-1,holdin,barclays,1-05-2010,119,1,0,0,0,0,0,0,0,0,0,0
Bad-debt warning by Barclays fails to halt Footsie 's advance LONDON,-1,holdin,bad-debt warning by barclays fails to halt footsie's advance london,27-05-2005,118,1,0,0,0,0,0,0,0,0,0,0
"Vodafone 's shares closed up 6.2 per cent at 115p after the world 's largest mobile phone operator by revenue confirmed it would stick to its operating profit target of pound(s)11bn to pound(s)11.5bn for 2008-09 , albeit thanks to favourable exchange rate movements .",['Profit'],holdin,vodafone's colao signals more cautious approach,12-11-2008,351,0,1,0,0,0,0,0,0,0,0,0
"The group 's statutory pre-tax profit , which included a $ 2.64bn accounting loss related to fluctuations in the value of its issued debt , was $ 4.32bn for the first three months of the year , down from $ 4.91bn in the first quarter of 2011 .","['QuarterlyResults', 'Profit']",holdin,FT other HSBC,09-05-2012,115,0,1,0,0,0,0,1,0,0,0,0
The European businesses have been reporting falling voice revenues from basic phone services for years - because of competitive and regulatory pressures - and the economic downturn put further pressure on the operations .,-1,holdin,vodafone prepares for smart move,6-11-2010,3,1,0,0,0,0,0,0,0,0,0,0
History may show these groups are now paying over the odds for assets .,-1,holdin,clues sought in vodafone price mystery on london tony tassell,2-06-2007,40,1,0,0,0,0,0,0,0,0,0,0
"Vodafone , which has a 45 per cent stake in Verizon Wireless , its joint venture with Verizon Communications , will get a $4.5bn ( pound(s)2.7bn ) pay-out from the US mobile operator in January .",['Dividend'],holdin,the waiting game pays off for vodafone,30-07-2011,820,0,0,1,0,0,0,0,0,0,0,0
"James Edwardes Jones , analyst at Execution , said : "" Excellent third-quarter results indicate Unilever is doing what it said it would do . """,['QuarterlyResults'],holdin,price deflation takes shine off unilever,6-11-2009,447,0,0,0,0,0,0,1,0,0,0,0
But growth will have to come from somewhere .,-1,holdin,tesco,25-09-2013,833,1,0,0,0,0,0,0,0,0,0,0
"We do n't feel we have to be there on day one , "" he said .",-1,holdin,talktalk to offer mobile service with vodafone,31-07-2010,970,1,0,0,0,0,0,0,0,0,0,0
Traders also noted research from Credit Suisse arguing that the domestic lenders will face further capital pressures as risk assets such as equities are reweighted .,-1,holdin,barclays bounces back after soothing fears over barcap,3-12-2009,218,1,0,0,0,0,0,0,0,0,0,0
""" There are a lot of people of all ages whose financial literacy is not necessarily as strong as they would wish and for older people as well it is certainly an issue , "" he says .",-1,holdin,philanthropic project set up to battle ignorance barclays is putting its money and its staff behind,19-06-2006,469,1,0,0,0,0,0,0,0,0,0,0
Shell has been active in Oman since the 1930s and was almost solely responsible for the development of the country 's oil industry .,-1,holdin,FT other Shell,04-05-2005,697,1,0,0,0,0,0,0,0,0,0,0
"Unilever warned that it expected commodity costs to keep increasing in the fourth quarter , but said it had offset the higher costs by raising prices as well as saving money through its restructuring programmes , which have included shutting factories .",-1,holdin,unilever gains as recovery continues,2-11-2007,78,1,0,0,0,0,0,0,0,0,0,0
"Barclays ' assessment of its potential loss is based on what people close to the bank describe as a conservative "" mark-to- market "" valuation that assumes the assets had to be sold at current depressed prices .",-1,holdin,barclays eases debt vehicle fear,29-08-2007,633,1,0,0,0,0,0,0,0,0,0,0
"Inmarsat firmed 2.7 per cent to 654 1/2 p , helped by a "" buy "" note from Liberum , which valued the satellite operator from pound(s)7 to pound(s)11 a share based on worst-case and best-case scenarios .",['BuyRating'],holdin,footsie rallies as pressure grows on bhp to drop bid,29-10-2010,630,0,0,0,0,0,1,0,0,0,0,0
Tesco shares plunged yesterday after the UK retailer issued a profit warning in the wake of disappointing Christmas trading in its UK heartland .,['Profit'],holdin,tesco suffers hangover from christmas,13-01-2012,862,0,1,0,0,0,0,0,0,0,0,0
His comments followed Thursday 's report from Barclays of a significant rise in bad debt losses .,-1,holdin,FT other HSBC,28-05-2005,393,1,0,0,0,0,0,0,0,0,0,0
"It is cutting costs by reducing the number of formulas it uses in its household and food products and is extending campaigns promoting the "" goodness "" of margarine to more countries to try and boost sales .",-1,holdin,unilever pledge boosts confidence,8-05-2009,42,1,0,0,0,0,0,0,0,0,0,0
"Tomorrow , Vodafone will outline plans to increase customers ' use of mobiles in its core European markets by offering lower tariffs inside homes .",-1,holdin,vodafone seeks organic growth as acquisitions drive unwinds,29-05-2006,57,1,0,0,0,0,0,0,0,0,0,0
"Both are on the government 's shortlist for Britain 's first super-casino , it emerged last week .",-1,holdin,vodafone under pressure onstrategy amid huge write-down companies diary,29-05-2006,304,1,0,0,0,0,0,0,0,0,0,0
The company has impressed analysts with its consistent sales growth ; the next step is to deliver consistent profits growth .,['SalesVolume'],holdin,unilever investors welcome surprise food producers,3-11-2006,17,0,0,0,0,1,0,0,0,0,0,0
"These international pressures come at a delicate time for Tesco , which issued its first profit warning in 20 years in January after the worst performance from its UK business in decades .",['Profit'],holdin,tesco hit by overseas pressures,21-07-2012,260,0,1,0,0,0,0,0,0,0,0,0
"Turkey , which has been reporting falling sales since mid-2008 , returned to growth in the third quarter .","['QuarterlyResults', 'SalesVolume']",holdin,vodafone notes improvement at european businesses,5-02-2010,287,0,0,0,0,1,0,1,0,0,0,0
"Mr Diamond set new profit targets in February , part of a strategic overhaul that identified a third of the group as insufficiently profitable .",-1,holdin,barclays chief ready to increase risk appetite in search of profit,5-04-2011,60,1,0,0,0,0,0,0,0,0,0,0
"Growth of the brands has , however , lagged behind those in emerging markets , where sales have risen 6 to 8 per cent during the past three years .",['SalesVolume'],holdin,unilever hangs on to european laundry list,29-07-2008,461,0,0,0,0,1,0,0,0,0,0,0
Unilever 's management came under fire from investors at yesterday 's annual meeting for accepting higher pay packages while delivering poor results .,-1,holdin,FT other Unilever,12-05-2005,545,1,0,0,0,0,0,0,0,0,0,0
Credit : By Julia Bradshaw,-1,holdin,tesco (tsco),19-01-2013,85,1,0,0,0,0,0,0,0,0,0,0
"That news overshadowed the half-year earnings results , which were slightly short of analysts forecasts .",['Profit'],holdin,goodyear to leave bhp billiton mining,8-02-2007,436,0,1,0,0,0,0,0,0,0,0,0
""" If you have deliberately structured the product to achieve a different risk , we say you have crossed the line into misrepresentation and potentially deceit , "" he said .",-1,holdin,"barclays 'misled' italian bank on cdos' risk, court hears",30-11-2010,675,1,0,0,0,0,0,0,0,0,0,0
Citigroup said non-food retailers were going to have a particularly tough time in 2005 against the might of Tesco .,-1,holdin,tesco beats m&s sales of non-foods food retailers,21-05-2005,842,1,0,0,0,0,0,0,0,0,0,0
"The FTSE 100 closed 1.2 per cent or 69.70 points lower at 5,891.41 as miners provided eight of its top 10 fallers .",-1,holdin,vodafone outperforms falling ftse amid fresh takeover talk,21-03-2012,829,1,0,0,0,0,0,0,0,0,0,0
""" At least two of the three have to start flying to put a dent into ( Tesco 's ) sales expectations . """,-1,holdin,"prosperous tesco takes retailing to a new level with sales up 6.6 per cent, sir terry leahy is still",21-09-2005,756,1,0,0,0,0,0,0,0,0,0,0
"Earlier this week Sky announced a deal to offer content from HBO , the US cable business , while BT will begin broadcasting two Sky Sports channels this weekend .",-1,holdin,talktalk to offer mobile service with vodafone,31-07-2010,970,1,0,0,0,0,0,0,0,0,0,0
"Shares in Man have dropped 35 per cent since warning last month of redemptions at GLG , the acquisition that was intended to offset its reliance on the AHL fund .",-1,holdin,cash call speculation lifts barclays as ftse ends on two-month high,13-10-2011,6,1,0,0,0,0,0,0,0,0,0,0
"The pay-out ratio , however , continues to fall , although it is not out of step with its peers .",-1,holdin,bhp billiton,24-08-2006,181,1,0,0,0,0,0,0,0,0,0,0
"Deutsche 's FICC machine , meanwhile , generated income of EUR3.4bn , 8 per cent lower than a year ago but still trumping its UK rival by EUR500m .",['Turnover'],holdin,barclaysdeutsche,27-04-2012,505,0,0,0,0,0,0,0,0,0,1,0
""" So is our confidence that Premier 's major shareholders will turn activist and interventionist in order to recover value for shareholders as a whole . """,-1,holdin,bhp helps power footsie recovery on talk of bp gulf bid,3-08-2010,720,1,0,0,0,0,0,0,0,0,0,0
That represented a massive 17 per cent of BP 's cash flow from operations last year .,-1,holdin,FT other BP,30-05-2012,499,1,0,0,0,0,0,0,0,0,0,0
"Underlying pre-tax profit rose 33 per cent from the previous quarter to Pounds 77m ( Pounds 55m ) , helped by an Pounds 18m dividend from the company 's 17 per cent stake in Songbird , the Canary Wharf vehicle .","['QuarterlyResults', 'Profit']",holdin,british land aims ever higher as rents climb real estate,16-08-2006,629,0,1,0,0,0,0,1,0,0,0,0
"Yesterday Reed , off 0.37 per cent at 542 1/2p , said that actions taken to improve the performance of Harcourt Education were progressing and that recent US state testing contracts were encouraging .",-1,holdin,british land on solid ground with analyst optimism on reits rules london,19-04-2006,123,1,0,0,0,0,0,0,0,0,0,0
The recession will leave gaps on the high street .,-1,holdin,tesco and discounters,14-01-2009,136,1,0,0,0,0,0,0,0,0,0,0
Alice Ross reports,-1,holdin,barclays' fine makes further penalties likely,22-01-2011,649,1,0,0,0,0,0,0,0,0,0,0
But building a bank is expensive and time consuming .,-1,holdin,tesco to grapple with plan to expand,4-01-2010,205,1,0,0,0,0,0,0,0,0,0,0
"On current forecasts , BHP can certainly afford it .",-1,holdin,bhp's payout the,8-02-2007,899,1,0,0,0,0,0,0,0,0,0,0
""" [ Fresnillo ] are cautious about nearer-term economic recovery and industrial demand for silver , which accounts for about 47 per cent of total demand .",-1,holdin,fresnillo poised to overtake bhp in silver output,4-08-2010,908,1,0,0,0,0,0,0,0,0,0,0
BHP Billiton was a talking point in a lacklustre London market amid deal speculation .,-1,holdin,bhp billiton in the spotlight on talk of bid for mosaic,6-08-2013,110,1,0,0,0,0,0,0,0,0,0,0
"The FTSE 100 closed ahead 14.7 points , or 0.24 per cent , at 6,044.1 with BHP Billiton 5 per cent higher at Pounds 11.80 1/2p , the best performer as metals prices hit record highs .",-1,holdin,british land on solid ground with analyst optimism on reits rules london,19-04-2006,123,1,0,0,0,0,0,0,0,0,0,0
Vodafone chief under pressure over European businesses,-1,holdin,vodafone chief under pressure over european businesses,28-01-2010,757,1,0,0,0,0,0,0,0,0,0,0
food & drug retailers ; Rewards for Mason and Brasher ; Others saw bonuses axed as profits fell,-1,holdin,two tesco directors paid pound(s)3m at exit,24-05-2013,491,1,0,0,0,0,0,0,0,0,0,0
"These investors are expected to vote against re-election of Luc Vandevelde , chairman of Vodafone 's remuneration committee .",-1,holdin,standard life and hermes add to protest at vodafone,24-07-2006,537,1,0,0,0,0,0,0,0,0,0,0
"Standard Chartered would be a likely bidder for the African operations if , as expected , HSBC bought South Africa 's Nedbank , it said .",-1,holdin,ubs lowers forecasts on 'wrong shape' barclays,18-09-2010,149,1,0,0,0,0,0,0,0,0,0,0
"Unilever is poorly placed to take part since its underperforming shares make it hard to strike good deals , not to mention the distraction of more upheaval .",-1,holdin,unilever's challenge european comment,2-02-2005,36,1,0,0,0,0,0,0,0,0,0,0
"Tullow Oil outperformed , drifting only 0.8 per cent to 709 1/2 p following reports that it had rejected informal takeover approaches from Chinese companies including Sinopec .",['MergerAcquisition'],holdin,barclays drops 24% on fresh concerns about writedowns,6-03-2009,958,0,0,0,1,0,0,0,0,0,0,0
"The FTSE 100 closed 1 per cent lower , losing 50.49 points to 5207.36.",-1,holdin,vodafone strength offers support for falling footsie,23-10-2009,912,1,0,0,0,0,0,0,0,0,0,0
In January BHP agreed to buy Athabasca Potash for C$341m .,['MergerAcquisition'],holdin,bhp's potash bid puts m&a back on mining agenda,18-08-2010,117,0,0,0,1,0,0,0,0,0,0,0
"Underlying pre-tax profit rose from pound(s)1.6bn in 2008 to pound(s)5.6bn - a percentage increase even better than the headline number , boosted by the sale of Barclays Global Investors to BlackRock .","['Profit', 'MergerAcquisition']",holdin,barclays bounces,17-02-2010,12,0,1,0,1,0,0,0,0,0,0,0
"However , the shares fell 35p to pound(s)17.94 after the company said it had been reducing prices , particularly on spreads and homecare products .",-1,holdin,price deflation takes shine off unilever,6-11-2009,447,1,0,0,0,0,0,0,0,0,0,0
"It is highly likely , in our view , that further costs savings above the planned pound(s)400m will be delivered . """,-1,holdin,aggreko falls to two-year low following unilever warning,2-10-2013,350,1,0,0,0,0,0,0,0,0,0,0
"Investors bought into the German flag carrier , sending its shares up 4.9 per cent to EUR12.51 against a 0.8 per cent gain on the German Xetra Dax index to 7,244.99.",-1,holdin,airlines climb after barclays upgrades,23-11-2012,650,1,0,0,0,0,0,0,0,0,0,0
"Nick Delfas , Morgan Stanley analyst , said the 2006-07 results should meet market expectations , but predicted 2007-08 would look "" less good "" .",-1,holdin,vodafone's margins set to fall,26-05-2007,320,1,0,0,0,0,0,0,0,0,0,0
Engelhard 's move looks set to seal a transaction that is meant to make BASF less dependent on cyclical earnings in its core chemicals business .,-1,holdin,engelhard agrees to dollars 5bn basf acquisition auto parts maker,31-05-2006,584,1,0,0,0,0,0,0,0,0,0,0
Additional reporting by Guy Dinmore in Rome,-1,holdin,barclays dismisses san marino lawsuit,30-07-2008,947,1,0,0,0,0,0,0,0,0,0,0
Profit taking prompted by the BoE rate decision left mortgage lender Alliance & Leicester 4 per cent lower at 724 1/2p .,['BuyRating'],holdin,unilever sparks strong interest on talk of big dividend,11-01-2008,577,0,0,0,0,0,1,0,0,0,0,0
"Patrick Cescau turned Unilever into something looking less like the civil service and more like a lean , responsive consumer goods company .",-1,holdin,unilever,30-04-2010,75,1,0,0,0,0,0,0,0,0,0,0
""" This is an issue that 's going to be around for as long as you can look ahead . """,-1,holdin,philanthropic project set up to battle ignorance barclays is putting its money and its staff behind,19-06-2006,469,1,0,0,0,0,0,0,0,0,0,0
"Net debt of $5.59bn compares with $11.3bn at Anglo , for example .",-1,holdin,luck and oil boost bhp's balance sheet,13-08-2009,925,1,0,0,0,0,0,0,0,0,0,0
"A miserable week for beleaguered healthcare software group Isoft ended with its shares at an all-time low of 50p , down 7.4 per cent on the day .",-1,holdin,tesco boosted by new catalogue talk london,12-08-2006,10,1,0,0,0,0,0,0,0,0,0,0
""" We anticipate marked earnings upgrades , "" it said in a "" buy "" note .",-1,holdin,barclays hits reverse on fears over irish exposure,27-11-2010,968,1,0,0,0,0,0,0,0,0,0,0
"BASF 's three new nominees are Arthur de Graffenried , a former Citigroup banker ; William Vinson , a lawyer with LockheedMartin ; and Stanford Warshawsky , an investment banker , former chemicals company director and member of the German-American chamber of commerce .",-1,holdin,basf stays firm on bid for catalyst group chemicals,2-05-2006,926,1,0,0,0,0,0,0,0,0,0,0
"The aggressive Chinese expansion comes in spite of a difficult year for the retailer 's other international operations , including in the US .",-1,holdin,tesco's expansion in china will overtake uk footprint,21-04-2010,178,1,0,0,0,0,0,0,0,0,0,0
Emerging markets are set to account for 45 per cent of sales in 2020 compared with 34 per cent last year .,-1,holdin,basf hopes to double profits to eur23bn by 2020,30-11-2011,408,1,0,0,0,0,0,0,0,0,0,0
"But customer perceptions of value for money have continued to deteriorate and the majority want improvements in pricing , said Morgan Stanley .",-1,holdin,tesco pushed to three-year low after customers shop elsewhere,29-05-2012,9,1,0,0,0,0,0,0,0,0,0,0
"True , the share price has fallen by a fifth since he quit the building - and it rose on average 9.3 per cent a year during his tenure .",-1,holdin,"misfortunes aside, tesco chief is no lemony snicket",21-04-2012,733,1,0,0,0,0,0,0,0,0,0,0
The bank argued that the stock had outperformed peers in spite of sector-wide demand weakness and pricing pressures .,-1,holdin,bhp slides on mosaic bid talk as ftse 100 drops to fortnight-low,21-10-2011,490,1,0,0,0,0,0,0,0,0,0,0
The shares were supported by rumours that a US bank plans to gatecrash the talks and launch a bid for Barclays .,-1,holdin,barclays house broker attempts to calm nerves over abn approach london,23-03-2007,406,1,0,0,0,0,0,0,0,0,0,0
""" In the past , we think Verizon felt the need to pay a full price for Vodafone 's stake , "" said the broker .",-1,holdin,vodafone resilient on renewed talk of verizon stake sale,3-10-2008,396,1,0,0,0,0,0,0,0,0,0,0
Ratings cut ends rally by Barclays,-1,holdin,ratings cut ends rally by barclays,3-02-2009,492,1,0,0,0,0,0,0,0,0,0,0
"First-half earnings before interest , tax , depreciation and amortisation , at pound(s)6.6bn , also disappointed , mainly from European weakness , while the ebitda margin slipped to 30.5 per cent , compared with 31.2 per cent a year ago ( once restructuring and foreign exchange were excluded ) .",['Profit'],holdin,vodafone,14-11-2012,486,0,1,0,0,0,0,0,0,0,0,0
"In an encouraging sign of likely future uptake of new services , the company revealed revenues from non-text data , such as video and music downloads , accounted for between 3 and 4 per cent of total group revenues .",-1,holdin,vodafone to double dividend and increase share buyback,17-11-2004,454,1,0,0,0,0,0,0,0,0,0,0
Never mind .,-1,holdin,tesco,6-10-2011,458,1,0,0,0,0,0,0,0,0,0,0
"According to people close to the Verizon sale talks , Vodafone has appetite to conduct similar deals in markets such as Spain , Italy and Holland and would have been unlikely to have engaged in talks over the sale of its 45 per cent stake in the US wireless operator without a future M&A strategy in place .",-1,holdin,hard to call size of vodafone payout,2-09-2013,657,1,0,0,0,0,0,0,0,0,0,0
"The Mukhaizna field was part of that deal and Shell is in talks with the government that could result in the company relinquishing a further 10 per cent of the concession area , although it insists this is standard practice and that it can refuse to give up important fields .",-1,holdin,FT other Shell,04-05-2005,697,1,0,0,0,0,0,0,0,0,0,0
"Imperial Tobacco rose a further 1.2 per cent to pound(s)21.43 after its move on Friday to increase prices in Spain , where the cigarette market has been fighting a price war with Philip Morris International and British American Tobacco .",-1,holdin,british land builds on longest winning streak in nine months,5-07-2011,534,1,0,0,0,0,0,0,0,0,0,0
Tesco sees confidence return with rise in sales,['SalesVolume'],holdin,tesco sees confidence return with rise in sales,8-12-2010,532,0,0,0,0,1,0,0,0,0,0,0
British Airways was up 1.1 per cent to 194 3/4 p after Credit Suisse chose the airline as its preferred pick in a European sector note .,-1,holdin,bhp billiton and anglo american lead footsie higher,19-01-2010,798,1,0,0,0,0,0,0,0,0,0,0
"Industry analysts are forecasting a similar size repurchase for the current financial year , but expectations of a richer programme - perhaps reaching Pounds 4.5bn - have gathered pace following continued buy-backs in the current financial year .",['ShareRepurchase'],holdin,FT other Vodafone,23-05-2005,546,0,0,0,0,0,0,0,0,1,0,0
"Trevor Bish-Jones , chief executive , warned that profits next year would be Pounds 10m down as a result of Tesco changing the terms of a contract with Woolworth 's Entertainment UK venture , which supplies the UK 's largest supermarket group with music and films .",['Profit'],holdin,bad news on tesco deal forces woolworths to warn on profits,19-01-2006,827,0,1,0,0,0,0,0,0,0,0,0
"This is a slowdown from the second quarter , when Tesco had its first rise in UK like-for-like sales for two years , up 0.1 per cent in the three months to the end of August .","['QuarterlyResults', 'SalesVolume']",holdin,tesco boost a diversion from predicted bad news,5-12-2012,945,0,0,0,0,1,0,1,0,0,0,0
Tullow Oil rose 2.4 per cent to pound(s)13.13 following a report that Korea National Oil Company was interested in buying a stake in its Jubilee field in Ghana .,['MergerAcquisition'],holdin,verizon cools vodafone talk,7-04-2010,65,0,0,0,1,0,0,0,0,0,0,0
"Biggest movers , Page 23",-1,holdin,barclays left battered in ftse's sharpest fall for over two years,19-08-2011,5,1,0,0,0,0,0,0,0,0,0,0
"Mining and oil stocks , which investors almost could not give away 24 hours earlier , were suddenly back in demand as the price of copper cleared the Dollars 8,000 a tonne level again and oil crude futures broke through Dollars 70 a barrel .",-1,holdin,vodafone misses the rally because of trepidation about its results london,24-05-2006,476,1,0,0,0,0,0,0,0,0,0,0
"It cited an improving sales performance and further cost cutting , as well as "" a lack of decent alternatives in the telecom sector "" .",-1,holdin,barclays leads ftse 100 slide following cut in stake,7-06-2013,289,1,0,0,0,0,0,0,0,0,0,0
"Gavin Darby , who previously worked at Vodafone , was appointed C&W Worldwide 's third chief executive in as many years last November .",-1,holdin,vodafone confirms talks with c&ww,14-02-2012,67,1,0,0,0,0,0,0,0,0,0,0
"Antofagasta slipped 8.3 per cent to 349p , Rio Tinto lost 7.9 per cent to 349p and BHP Billiton was off 7.3 per cent to pound(s)11.21.",-1,holdin,vodafone resilient on renewed talk of verizon stake sale,3-10-2008,396,1,0,0,0,0,0,0,0,0,0,0
"Vittorio Colao , Vodafone 's chief executive , has been slimming down the company 's portfolio by selling minority stakes in Chinese and Japanese mobile operators .",-1,holdin,vodafone in eur8bn sfr sale,4-04-2011,991,1,0,0,0,0,0,0,0,0,0,0
"Countrywide Estates rose 7 per cent to 400p after analysts at Numis Securities upped its rating to "" add "" from "" sell "" .",['BuyRating'],holdin,footsie's energy-driven march shrugs off vodafone turbulence london,20-09-2005,966,0,0,0,0,0,1,0,0,0,0,0
"It forecast management to rebase its 2014 dividend to 6p a share , a cut of 41 per cent .",['Dividend'],holdin,vodafone hits three-month low on concerns over us venture payouts,13-09-2012,153,0,0,1,0,0,0,0,0,0,0,0
"Barclays is taking back full ownership of the Protium assets from C12 , a spun-off entity created in September 2009 to wind down the portfolio over 10 years with the help of a $12.6bn loan from Barclays .",-1,holdin,barclays buys back $9bn portfolio of credit assets from former staff,28-04-2011,411,1,0,0,0,0,0,0,0,0,0,0
"Project Canvas is run by a consortium including the BBC , ITV , BT , Channel 4 , TalkTalk and Arqiva .",-1,holdin,talktalk to offer mobile service with vodafone,31-07-2010,970,1,0,0,0,0,0,0,0,0,0,0
The banks have estimated the implementation costs for the merger at R1.8bn.,['MergerAcquisition'],holdin,absa reports solid growth with barclays in control,22-11-2005,372,0,0,0,1,0,0,0,0,0,0,0
"The latest figures show that nearly 54,000 households are three to six months in arrears , a rise of 5,000 on a year ago .",-1,holdin,banks start to feel the strain of consumer debt bad debt provisions may have to be raised as hsbc fo,28-05-2005,125,1,0,0,0,0,0,0,0,0,0,0
"Road to Rio , Page 19",-1,holdin,buoyant bhp presses rio bid,19-08-2008,590,1,0,0,0,0,0,0,0,0,0,0
""" Fuel price remains a key concern , "" said Gert Zonnevald at Panmure Gordon .",-1,holdin,poor performance by vodafone sees footsie end winning streak london,25-05-2005,533,1,0,0,0,0,0,0,0,0,0,0
"Boiler developer Ceres Power dropped 16.8 per cent to 25 1/4 p after warning of further product delays while Enova Systems , a maker of electric motors , fell 21.9 per cent to 12 1/2 p after a profit warning .",['Profit'],holdin,cash call speculation lifts barclays as ftse ends on two-month high,13-10-2011,6,0,1,0,0,0,0,0,0,0,0,0
"While other international companies bailed out of Oman in 1960 , after failing to find any significant oil , Shell stuck it out and was rewarded by a series of big finds from 1962 onwards .",-1,holdin,FT other Shell,04-05-2005,697,1,0,0,0,0,0,0,0,0,0,0
"However , Sunil Bharti Mittal , chairman of Bharti Enterprises and founder of Bharti Airtel , is reluctant to let Vodafone increase its stake , let alone take control .",-1,holdin,"vodafone keeps eye on india for growth investors are worried about costs, write andrew parker, kate",22-12-2006,95,1,0,0,0,0,0,0,0,0,0,0
HSBC customer loses damages case,-1,holdin,FT other HSBC,17-05-2012,903,1,0,0,0,0,0,0,0,0,0,0
It added it will generate up to pound(s)6.5bn of free cash flow .,-1,holdin,vodafone faces weaker margins,11-11-2009,412,1,0,0,0,0,0,0,0,0,0,0
"Shares in the private equity group , which had more than doubled since early March , lost 14.5 per cent to 318p .",-1,holdin,vodafone benefits from robust results of us counterpart,28-04-2009,736,1,0,0,0,0,0,0,0,0,0,0
"BA shares had held steady on the day the strike was announced , partly because of the company 's history of reaching last-minute settlements with unions .",-1,holdin,barclays under pressure as banks lead footsie lower,16-12-2009,586,1,0,0,0,0,0,0,0,0,0,0
""" We have received their communication and are studying it and will respond appropriately . """,-1,holdin,vodafone and essar clash over listing move,19-01-2011,593,1,0,0,0,0,0,0,0,0,0,0
"Among an equally buoyant mid-cap sector , Tullow Oil added 4.7 per cent to 167p and Cairn Energy nosed 4.1 per cent higher to Pounds 12.38.",-1,holdin,bad-debt warning by barclays fails to halt footsie's advance london,27-05-2005,118,1,0,0,0,0,0,0,0,0,0,0
The shares closed 1.7 per cent down .,-1,holdin,tesco buys 36 stores in south korea for pounds 1bn,15-05-2008,226,1,0,0,0,0,0,0,0,0,0,0
""" We will be working as hard as we can to ensure a higher valuation can be placed on our shares , "" he said .",-1,holdin,barclays disposes of pound(s)6bn worth of loans,8-08-2008,145,1,0,0,0,0,0,0,0,0,0,0
"Mr Sarin highlighted how Vodafone Essar , the Indian mobile business bought for Pounds 5.5bn in May , was delivering revenue growth of 53 per cent , and signing up 1.6m new customers each month .","['MergerAcquisition', 'Turnover', 'SalesVolume']",holdin,vodafone raises profit guidance,14-11-2007,72,0,0,0,1,1,0,0,0,0,1,0
"However , new chief executive Bob Diamond was the "" ideal candidate "" to restore balance .",-1,holdin,ubs lowers forecasts on 'wrong shape' barclays,18-09-2010,149,1,0,0,0,0,0,0,0,0,0,0
Mr Shah denied any involvement in money laundering and the transfers eventually took place .,-1,holdin,FT other HSBC,17-05-2012,903,1,0,0,0,0,0,0,0,0,0,0
